event_id,date_of_event,country,Place,Orchestra,program,conductor
51,1922-08-07,Uruguay,Montevideo,Vienna Philharmonic,Wag 70/1,Felix von Weingartner
51,1922-08-07,Uruguay,Montevideo,Vienna Philharmonic,Wag 86d/Trauermarsch,Felix von Weingartner
51,1922-08-07,Uruguay,Montevideo,Vienna Philharmonic,Weingartner 57,Felix von Weingartner
52,1922-08-09,Argentina,Buenos Aires,Vienna Philharmonic,Bee 72b,Felix von Weingartner
52,1922-08-09,Argentina,Buenos Aires,Vienna Philharmonic,Berl 14,Felix von Weingartner
52,1922-08-09,Argentina,Buenos Aires,Vienna Philharmonic,Schb 759,Felix von Weingartner
52,1922-08-09,Argentina,Buenos Aires,Vienna Philharmonic,Wag 96/1,Felix von Weingartner
53,1922-08-10,Argentina,Buenos Aires,Vienna Philharmonic,Berl 14,Felix von Weingartner
53,1922-08-10,Argentina,Buenos Aires,Vienna Philharmonic,Viv Concerto für Streicher,Felix von Weingartner
53,1922-08-10,Argentina,Buenos Aires,Vienna Philharmonic,Wag 70/Bac,Felix von Weingartner
53,1922-08-10,Argentina,Buenos Aires,Vienna Philharmonic,Web Ob,Felix von Weingartner
54,1922-08-11,Argentina,Buenos Aires,Vienna Philharmonic,Bee 55,Felix von Weingartner
54,1922-08-11,Argentina,Buenos Aires,Vienna Philharmonic,Gold 13,Felix von Weingartner
54,1922-08-11,Argentina,Buenos Aires,Vienna Philharmonic,Lis Préludes,Felix von Weingartner
54,1922-08-11,Argentina,Buenos Aires,Vienna Philharmonic,Res Fontane di Roma,Felix von Weingartner
55,1922-08-12,Argentina,Buenos Aires,Vienna Philharmonic,Buchardo López Escenas argentinas,Felix von Weingartner
55,1922-08-12,Argentina,Buenos Aires,Vienna Philharmonic,Wag 70/1,Felix von Weingartner
55,1922-08-12,Argentina,Buenos Aires,Vienna Philharmonic,Web Ob,Felix von Weingartner
55,1922-08-12,Argentina,Buenos Aires,Vienna Philharmonic,Weingartner 57,Felix von Weingartner
56,1922-08-13,Argentina,Buenos Aires,Vienna Philharmonic,Bee 68,Felix von Weingartner
56,1922-08-13,Argentina,Buenos Aires,Vienna Philharmonic,Men 21,Felix von Weingartner
